City,EGHG emissions
Qitaihe,0.074977747
Wanning,254.8354312
Sanya,0.253359474
Sanming,1675.228938
Sanmenxia,959.6338221
Shanghai,8513.412151
Shangrao,3435.263225
Dongfang,0.05133549
Dongguan,4649.834282
Dongying,491.546763
Zhongwei,52.73112904
Zhongshan,1182.536694
Linxia,22.36834556
Linfen,1596.263072
Linyi,7869.864406
Lincang,0.119842893
Lingao,54.37174383
Dandong,0.40426521
Lishui,122.5661052
Lijiang,328.6494953
Ulanqab,3407.129934
Wuhai,19.50186562
Urumqi,1963.861905
Ledong,63.47620869
Leshan,0.635827484
Jiujiang,3495.686843
Yunfu,1637.029856
Wujiaqu,27.17268836
Wuzhishan,26.87971978
Bozhou,249.4469157
Xiantao,1265.306074
Yichun,0.197745498
Ili,160.6396588
Foshan,7159.191974
Jiamusi,154.8115995
Baoting,4.305588513
Baoding,7075.18984
Baoshan,100.8051531
Xinyang,4372.210641
Danzhou,43.65159576
Kizilsu,245.9774933
Karamay,38.0901176
Lu'an,976.3942678
Liupanshui,188.2936878
Lanzhou,5485.575538
Xingan,0.087774841
Neijiang,1743.705946
Liangshan,971.6370486
Baotou,849.0836027
Beijing,22330.78669
Beitun,18.91828702
Beihai,23.12790341
Shiyan,776.6324215
Nanjing,3832.777763
Nanchong,1205.711874
Nanning,1148.312018
Nanping,888.0706716
Nanchang,2224.792111
Nantong,928.4080469
Nanyang,2217.846812
Bortala,149.5396757
Xiamen,1275.222744
Shuanghe,0.82954202
Shuangyashan,12.24049898
Kekedala,0.000220143
Taizhou,252.99295
Hefei,4528.981214
Ji'an,3541.591851
Jilin,315.880774
Turpan,2769.323171
Lvliang,58.93768139
Wuzhong,670.4926069
Zhoukou,1515.539297
Hulunbuir,122.7069538
Hohhot,1636.716868
Hotan,17.88271279
Xianning,3061.721001
Xianyang,7165.901347
Hami,11322.52846
Harbin,2579.832439
Tangshan,3119.630446
Shangqiu,1097.637692
Shangluo,1503.281689
Kashgar,134.2205976
Jiaxing,2701.462268
Jiayuguan,1050.112428
Siping,1446.65732
Guyuan,1899.187456
Tumushuke,0.004762091
Tacheng,354.7049217
Daxing'anling,470.4135169
Datong,1001.453995
Daqing,146.8606623
Dali,693.5890444
Dalian,11.64366626
Tianshui,85.96518942
Tianjin,15766.81122
Tianmen,627.6501261
Taiyuan,668.9210363
Weihai,4.605746581
Loudi,294.4112808
Xiaogan,6280.459008
Ningde,628.4836206
Ningbo,1246.531776
Anqing,3214.748526
Ankang,757.0903185
Anyang,1087.305028
Anshun,301.8478289
Ding'an,158.7614743
Dingxi,2509.308508
Yibin,1176.378122
Yichang,2016.291678
Yichun,2023.470372
Baoji,1164.312227
Xuancheng,685.0511862
Suzhou,1567.531183
Suqian,4498.325003
Tunchang,52.34403491
Shannan,90.55429616
Yueyang,6128.517431
Chongzuo,22.03674693
Bazhong,134.8975497
Bayannur,1116.207186
Bayingolin,3196.778624
Changzhou,4639.19163
Changde,848.5887311
Pingliang,7573.333235
Pingdingshan,2187.312058
Guangyuan,1490.768913
Guang'an,787.6962316
Guangzhou,14122.89453
Qingyang,1551.932148
Langfang,12571.94723
Yan'an,825.0257807
Yanbian,99.79526743
Kaifeng,2069.98003
Zhangjiakou,3281.443216
Zhangjiajie,242.1623144
Zhangye,5181.825111
Xuzhou,2391.79546
Dehong,49.12273526
Dezhou,7521.977282
Deyang,2212.304902
Xinzhou,1263.076163
Huaihua,751.1242208
Nujiang,3.658549669
Enshi,1950.894184
Huizhou,5994.426116
Chengdu,9907.267496
Yangzhou,5526.734794
Chengde,575.2524656
Fuzhou,4209.328951
Fushun,225.9457357
Lhasa,454.2632837
Jieyang,3812.186467
Panzhihua,261.1319855
Wenshan,2.170220576
Wenchang,0.472676491
Xinxiang,1739.016544
Xinyu,936.6680562
Wuxi,4860.180083
Shigatse,18.9478873
Rizhao,245.9531837
Kunming,1622.192162
Kunyu,0
Changji,5963.341278
Changjiang,13.98591849
Changdu,2598.443712
Zhaotong,3860.773349
Jinzhong,1070.477014
Jincheng,81.59692497
Pu'er,254.0848845
Jingdezhen,632.963824
Qujing,2591.350771
Shuozhou,469.568658
Chaoyang,419.052143
Benxi,93.06374094
Laibin,395.0980295
Hangzhou,3709.242436
Songyuan,908.0612606
Linzhi,1988.640866
Guoluo,1.196314608
Zaozhuang,894.3378401
Liuzhou,856.1597216
Zhuzhou,979.7701152
Guilin,2243.831773
Meizhou,1007.242768
Wuzhou,1245.013246
Chuxiong,309.2564093
Yulin,338.9918184
Wuwei,4019.42034
Wuhan,10182.22919
Bijie,1574.534362
Yongzhou,755.4544833
Hanzhong,2054.068782
Shantou,1206.116842
Shanwei,1195.801475
Jiangmen,3082.753158
Chizhou,503.6131943
Shenyang,4528.437294
Cangzhou,7391.071069
Hechi,82.40020109
Heyuan,5397.142236
Quanzhou,2218.954164
Tai'an,2820.894746
Taizhou,955.7100552
Luzhou,3478.986149
Luoyang,757.2360834
Jinan,8393.094113
Jining,1125.536066
Jiyuan,33.83118402
Haidong,460.2337878
Haibei,10.22114655
Hainan,232.2621843
Haikou,665.8895802
Haixi,649.9719579
Zibo,2343.322139
Huaibei,526.5413678
Huainan,496.6473776
Huai'an,3732.294326
Shenzhen,249.1621663
Qingyuan,6119.369651
Wenzhou,671.2804609
Weinan,2747.190937
Huzhou,1596.096291
Xiangtan,2071.017195
Xiangxi,510.9206089
Zhanjiang,2648.888152
Chuzhou,2503.976373
Binzhou,3669.055294
Luohe,1829.850762
Zhangzhou,5128.688369
Weifang,2791.595538
Qianjiang,462.8496947
Chaozhou,2316.34122
Chengmai,110.1260451
Puyang,1485.203271
Yantai,398.0067288
Jiaozuo,240.641435
Mudanjiang,152.8652062
Yulin,1454.637817
Yushu,192.8425797
Yuxi,376.269762
Zhuhai,6.116505076
Qiongzhong,63.84011429
Qionghai,180.1451283
Gannan,41.70997414
Ganzi,2749.394162
Baicheng,366.7022436
Baishan,0.122054595
Baisha,11.31246258
Baiyin,1550.543777
Baise,536.007629
Yiyang,283.8681418
Yancheng,1214.609845
Panjin,1334.227394
Meishan,1901.938799
Shizuishan,10.76277621
Shijiazhuang,832.9594211
Shihezi,26.64339185
Shennongjia,0.002102532
Fuzhou,1308.302509
Qinhuangdao,1832.386594
Honghe,192.5134834
Shaoxing,2261.801848
Suihua,580.2531994
Mianyang,1442.616286
Liaocheng,1669.803891
Zhaoqing,3612.419032
Huyanghe,0.001177459
Zigong,1092.190946
Zhoushan,0.192839128
Wuhu,753.2843457
Suzhou,11372.69726
Maoming,2712.24972
Jingzhou,2474.422804
Jingmen,2272.967752
Putian,557.5260396
Heze,564.6340641
Pingxiang,174.2151874
Yingkou,431.9132549
Huludao,2905.839977
Bengbu,1033.287786
Hengshui,3425.439463
Hengyang,4475.605929
Quzhou,2503.783155
Xiangyang,1340.933507
Xishuangbanna,122.6386993
Xining,193.7538805
Xi'an,4355.374272
Xuchang,2890.345036
Guigang,739.6601382
Guiyang,1680.795713
Hezhou,1419.469783
Ziyang,2289.653781
Ganzhou,6928.403484
Chifeng,4.467949045
Liaoyuan,2.033829631
Liaoyang,442.696818
Dazhou,493.5112979
Yuncheng,640.5212144
Lianyungang,266.9312211
Diqing,15.71187865
Tonghua,75.80767032
Tongliao,173.4996228
Suining,1259.636024
Zunyi,1245.241006
Xingtai,4111.960949
Naqu,269.6224895
Handan,2742.319373
Shaoyang,406.3424542
Zhengzhou,3105.275932
Chenzhou,3014.328724
Ordos,315.9143698
Ezhou,1036.260535
Jiuquan,11865.8422
Chongqing,10738.29874
Jinhua,2474.142136
Jinchang,1671.210115
Qinzhou,506.4376549
Tieling,3830.681887
Tiemenguan,0.758181301
Tongren,819.2964919
Tongchuan,122.9777381
Tongling,187.7410414
Yinchuan,228.8849092
Xilin Gol,0.208148003
Jinzhou,1383.303905
Zhenjiang,4567.533928
Changchun,4619.359178
Changsha,3469.425569
Changzhi,1310.057699
Fuxin,600.0917398
Fuyang,582.7589874
Fangchenggang,0.280095737
Yangjiang,2228.403625
Yangquan,13.72872021
Aksu,2064.992968
Altai,0.065732816
Aba,10.743314
Alxa,2278.219181
Alaer,58.31700626
Ali,0
Longnan,631.2736177
Lingshui,169.8409428
Suizhou,2738.024064
Ya'an,1553.192943
Qingdao,2505.421436
Anshan,1032.148716
Shaoguan,1708.853581
Ma'anshan,1899.208972
Zhumadian,8016.737906
Jixi,14.24322035
Hebi,592.5681367
Hegang,0.024698866
Yingtan,1092.946864
Huanggang,2866.847815
Huangnan,1.091084272
Huangshan,196.3589922
Huangshi,2495.764425
Heihe,681.4020079
Qiandongnan,1741.915608
Qiannan,1900.557239
Qianxinan,142.6562586
Qiqihar,500.5971962
Longyan,779.611312
