City,Outsourced Cities
Beijing,2.841833915
Shanghai,2.715564572
Chongqing,3.027564338
Urumqi,15.91742797
Shenzhen,2.782483425
Tianjin,2.92381916
Chengdu,6.081132159
Guangzhou,2.567837682
Suzhou,4.301950507
Qingdao,6.809038618
Zhengzhou,7.460074023
Nanjing,3.573387162
Xi'an,4.837879104
Harbin,8.906732686
Xiamen,8.486560042
Bayingolin,12.00661281
Dongguan,2.657709997
Dalian,7.283757237
Kunming,9.412493107
Changsha,4.69050034
Fuzhou,9.611799967
Shenyang,16.96462907
Changchun,6.639326555
Hangzhou,3.916666019
Nanning,8.555654759
Quanzhou,5.226881265
Shijiazhuang,4.915697068
Foshan,2.809827813
Hefei,5.992799319
Wuhan,9.314278351
Jinan,2.319377054
Nantong,2.262394952
Baoding,3.150754246
Hohhot,8.746445057
Xuzhou,4.14408133
Changji,7.91483561
Kashgar,12.12241843
Lanzhou,8.561820121
Taiyuan,6.554007948
Langfang,2.459274897
Yantai,5.626977582
Lhasa,7.123368093
Zhanjiang,4.880093909
Ili,11.86969791
Shantou,5.07404457
Wuxi,2.352472203
Ningbo,4.054441222
Haikou,8.384114765
Guiyang,6.998502832
Huizhou,3.407991111
Weifang,4.104922217
Linyi,4.393554284
Ganzhou,7.55400035
Zhuhai,3.852825601
Wenzhou,6.401525009
Zhongshan,2.963694751
Aksu,9.997046497
Changzhou,3.004591334
Nanchang,5.201043586
Yancheng,3.498541238
Sanya,8.669578486
Maoming,5.931437625
Handan,4.421255014
Yinchuan,6.531965603
Cangzhou,3.055377138
Anshan,6.721888516
Jieyang,4.957364697
Meizhou,5.345725257
Tangshan,4.386526375
Suqian,6.157480685
Hami,11.94591217
Jiangmen,3.984450188
Lianyungang,5.060636695
Xining,10.47593134
Baotou,5.422281488
Zhangzhou,4.694512656
Luoyang,5.336291456
Mianyang,3.403339625
Chaozhou,5.729606306
Karamay,8.807983027
Xinyang,3.355665096
Jining,5.009012233
Jinhua,4.840861205
Heze,4.103128291
Qinhuangdao,3.789446492
Nanyang,4.511011475
Huai'an,3.794454957
Fuyang,6.570078769
Weihai,5.085574222
Putian,5.138665147
Chengde,4.181965029
Shihezi,7.64486115
Bayannur,14.22298355
Xingtai,4.18186744
Jiaxing,2.361985885
Yulin,5.507571766
Ordos,6.74787088
Zhangjiakou,4.607921979
Dazhou,5.541076519
Ningde,5.653635317
Guilin,3.612813962
Taizhou,2.993988531
Shaoyang,5.038040157
Zhaoqing,3.032264871
Nanchong,5.172676968
Yibin,5.737426288
Zhoukou,3.64070864
Xianyang,2.311274197
Daqing,6.699843183
Zibo,4.356252616
Jilin,4.980109114
Rizhao,4.446880495
Shangqiu,4.249776687
Yangzhou,3.117726802
Shaoxing,2.97330853
Liuzhou,7.003852243
Chifeng,6.247811746
Tai'an,3.340889811
Luzhou,4.866828563
Hengyang,6.428348782
Yulin,4.357710007
Dali,5.74091411
Dandong,6.416480286
Chaoyang,7.768989669
Yongzhou,5.259463278
Xinxiang,4.471956102
Qingyuan,2.690067881
Bozhou,5.764043377
Anyang,5.367463867
Shaoguan,3.523450085
Suzhou,5.474718584
Tacheng,9.539603694
Nanping,5.748408463
Chenzhou,5.164634221
Guigang,4.861223125
Wuhu,4.783976149
Shanwei,3.294609067
Zhenjiang,3.087003035
Zunyi,4.675027569
Yangjiang,4.294364115
Heyuan,4.301986664
Zhuzhou,4.101430652
Zaozhuang,4.164393464
Huanggang,3.090661638
Yichang,6.488907797
Honghe,7.818891786
Xingan,10.61949919
Xiangyang,4.643878804
Baoji,3.387724767
Shangrao,4.901555966
Qujing,5.743385651
Taizhou,3.365956226
Suihua,5.704258
Qiqihar,7.75942736
Zhumadian,4.766378092
Wuzhou,4.24222912
Puyang,6.430218788
Liaocheng,2.975243084
Kaifeng,4.259877852
Linfen,5.34042966
Dongying,4.511149579
Hotan,11.7344507
Ji'an,5.175131315
Beihai,5.103523459
Chuzhou,4.235460348
Lu'an,4.30896745
Xuchang,4.008533469
Meishan,2.736289181
Jingzhou,5.012566575
Hanzhong,5.140545417
Anqing,4.129319624
Leshan,3.699017922
Changde,4.07854609
Huaihua,5.434277635
Datong,4.937846031
Jinzhong,4.875257674
Deyang,2.443518239
Yichun,4.214984194
Yuncheng,4.563422318
Zigong,4.580106638
Weinan,2.665712884
Bazhong,6.588437532
Longyan,4.658284739
Binzhou,3.611682876
Jiujiang,3.585569889
Sanming,4.946184814
Enshi,6.429994003
Bengbu,4.584924275
Baise,5.636850994
Jiuquan,9.952172999
Hengshui,4.014938411
Ankang,4.456175624
Yingkou,5.623078118
Neijiang,3.62952847
Pingdingshan,4.24601452
Qiandongnan,6.433624109
Suining,3.391573519
Loudi,4.580787831
Shiyan,4.171296796
Hulunbuir,7.227186069
Altai,9.742460212
Yunfu,3.470414669
Jiaozuo,4.624506743
Guang'an,4.216114783
Jinzhou,5.754772765
Huludao,4.54102858
Jiamusi,6.18063536
Huzhou,2.675281725
Xinzhou,4.796277681
Bortala,13.01821127
Tianshui,5.914946388
Dezhou,3.030809983
Fuzhou,3.828567706
Alaer,10.56742717
Mudanjiang,6.133085885
Yueyang,2.770042436
Tongliao,4.389094056
Qinzhou,4.574280735
Qiannan,5.574525088
Huainan,4.265627848
Lvliang,5.100612048
Guangyuan,4.596994618
Shuozhou,5.602595477
Hezhou,5.1526553
Turpan,8.347220588
Hechi,5.207667224
Changzhi,4.744270262
Xishuangbanna,9.4254284
Xiaogan,2.280322362
Yanbian,6.544194914
Ma'anshan,4.250128094
Zhaotong,6.110432818
Yuxi,5.832826497
Tonghua,4.520294756
Huaibei,6.072555149
Bijie,4.537042011
Kizilsu,11.68423054
Xuancheng,5.707848634
Yiyang,3.430399213
Panjin,5.983464896
Liangshan,5.693544303
Fushun,3.018256324
Xiangtan,3.311017885
Ziyang,2.636964451
Tongren,6.66892937
Songyuan,4.993032344
Chongzuo,5.374986111
Panzhihua,5.611234062
Xiangxi,7.001668836
Quzhou,3.814052313
Fangchenggang,5.10504191
Jingmen,4.571051707
Lingshui,8.453474979
Chuxiong,7.420799179
Lishui,4.122866983
Wuhai,9.94282416
Yan'an,4.536928796
Danzhou,6.878639904
Qianxinan,7.416848741
Baoshan,5.952037125
Ulanqab,5.200587251
Ya'an,3.050504336
Tieling,3.124318171
Siping,4.351659229
Huangshi,3.153522835
Baicheng,6.087386201
Wujiaqu,7.328227654
Jixi,7.051121104
Luohe,3.451406361
Jingdezhen,4.726841655
Longnan,6.132617467
Sanmenxia,4.538343384
Jincheng,6.534942456
Anshun,4.616401129
Heihe,7.124625021
Fuxin,4.508848836
Zhangye,8.246084839
Lincang,8.01000093
Baiyin,5.38763577
Suizhou,3.144549753
Wuwei,6.207112356
Dehong,8.806632325
Liupanshui,5.884574357
Xianning,2.465769447
Baishan,5.409412181
Shuangyashan,6.997568068
Laibin,4.308561618
Shangluo,3.249333985
Tumushuke,11.17998434
Zhoushan,3.187648953
Pingxiang,5.577802892
Dingxi,5.245274401
Benxi,3.240206098
Linzhi,4.374212379
Liaoyang,3.043551983
Qingyang,4.625167216
Yangquan,5.331175191
Pu'er,7.879947429
Tongling,6.032150725
Haixi,9.799998427
Lijiang,5.52009042
Chizhou,6.614745349
Hegang,7.271439477
Pingliang,4.463691746
Jiayuguan,10.0289669
Wenshan,6.258538177
Shigatse,6.29257367
Huangshan,4.330890955
Ledong,10.55056453
Yichun,7.031131745
Chengmai,4.453530879
Wuzhong,4.336834718
Qionghai,5.696632512
Ali,7.596182803
Zhangjiajie,5.024264985
Hebi,6.948302494
Wanning,6.583119462
Yingtan,4.786411849
Haidong,7.878866556
Xilin Gol,4.539011555
Tianmen,5.347626603
Shannan,6.109909171
Wenchang,4.638772383
Liaoyuan,5.394193466
Shizuishan,4.705027496
Zhongwei,5.265846031
Jinchang,7.081758284
Qitaihe,7.805766925
Xinyu,6.131488745
Dongfang,9.652677368
Guyuan,5.742629457
Changdu,4.414182566
Beitun,8.858313157
Linxia,7.00502431
Xiantao,3.139854276
Ezhou,2.09757401
Jiyuan,5.691872603
Alxa,10.36660802
Tongchuan,3.931060544
Qianjiang,4.030545504
Tiemenguan,9.72288414
Huyanghe,15.59618272
Ganzi,5.205680172
Changjiang,9.484117555
Gannan,8.286512006
Lingao,5.641064606
Baoting,10.48051591
Daxing'anling,10.39860731
Hainan,8.52238708
Nujiang,7.612700968
Diqing,9.958425086
Kunyu,12.70858317
Wuzhishan,8.563113396
Aba,4.500397078
Ding'an,4.843508485
Tunchang,6.774509504
Qiongzhong,8.679315609
Baisha,8.676369174
Haibei,8.548853923
Huangnan,7.925175429
Shennongjia,5.913498664
Guoluo,11.15792961
Naqu,10
